"filename", "language", "TypeScript", "SCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\InterfaceOfRecordDatabase.ts", "TypeScript", 29, 0, 0, 0, 1, 9, 39
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\LanguageInApplication.ts", "TypeScript", 1, 0, 0, 0, 1, 1, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\OrderOfRecordArray.ts", "TypeScript", 1, 0, 0, 0, 1, 1, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\UniqueResolveTableToGameSystem.ts", "TypeScript", 20, 0, 0, 0, 3, 3, 26
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\setting\settings.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\foundation\IGameSystemEnvironment.ts", "TypeScript", 15, 0, 0, 0, 1, 0, 16
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\foundation\IRegulation.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\foundation\ITargetInformation.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\record\IRecord.ts", "TypeScript", 36, 0, 0, 0, 4, 3, 43
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\record\IRecordGroupResolved.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\record\IRunner.ts", "TypeScript", 14, 0, 0, 0, 0, 1, 15
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\transmission\record\IReceivedData_recordDetail.ts", "TypeScript", 28, 0, 0, 0, 0, 2, 30
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\transmission\record\IReceivedData_recordSearch.ts", "TypeScript", 46, 0, 0, 0, 2, 5, 53
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\type\transmission\transmissionBase.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\InputCheckerUtility.ts", "TypeScript", 43, 0, 0, 0, 1, 2, 46
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\ViewUtility.ts", "TypeScript", 45, 0, 0, 0, 0, 2, 47
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\arrayUtility.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\errorUtility.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\inputCheckerUtility.test.ts", "TypeScript", 77, 0, 0, 0, 0, 2, 79
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\rankUtility.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\timeUtility.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\utility\undefinedChecker.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"Total", "-", 1651, 223, 12, 90, 109, 248, 2333
