"filename", "language", "TypeScript", "JSON", "SCSS", "HTML", "comment", "blank", "total"
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/MovieWidgetCreator.ts", "TypeScript", 51, 0, 0, 0, 2, 1, 54
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/OfferFormView.ts", "TypeScript", 267, 0, 0, 0, 3, 35, 305
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/RecordCardView.ts", "TypeScript", 48, 0, 0, 0, 2, 2, 52
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/RecordDetailView.ts", "TypeScript", 62, 0, 0, 0, 4, 17, 83
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/RecordsGroupView.ts", "TypeScript", 61, 0, 0, 0, 0, 5, 66
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/SelectChoicesCapsuled.ts", "TypeScript", 99, 0, 0, 0, 0, 4, 103
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/StateInfoView.ts", "TypeScript", 17, 0, 0, 0, 0, 1, 18
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/TagsView.ts", "TypeScript", 100, 0, 0, 0, 0, 5, 105
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/TextChoicesCapsuled.ts", "TypeScript", 19, 0, 0, 0, 0, 3, 22
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/TextInputCapsuled.ts", "TypeScript", 28, 0, 0, 0, 0, 3, 31
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/gameModeCardsGroup.ts", "TypeScript", 51, 0, 0, 0, 1, 3, 55
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/gameSystemCardsGroup.ts", "TypeScript", 49, 0, 0, 0, 1, 1, 51
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/parts/searchConditionSelector.ts", "TypeScript", 145, 0, 0, 0, 3, 21, 169
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/ErrorState.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 22
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/GameModeSelector.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 13
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/PageStateClass.ts", "TypeScript", 43, 0, 0, 0, 2, 3, 48
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/PageStates.ts", "TypeScript", 45, 0, 0, 0, 1, 2, 48
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/SearchDetail.ts", "TypeScript", 24, 0, 0, 0, 0, 5, 29
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/SpinnerExhibition.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 15
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/UserPageState.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/gameSystemSelector.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/mainMenu.ts", "TypeScript", 176, 0, 0, 0, 3, 12, 191
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/none.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/offerForm.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/registrer.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/searchConditionSelector.ts", "TypeScript", 18, 0, 0, 0, 0, 4, 22
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/searchResult.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 13
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/state/sendRecordOffer.ts", "TypeScript", 18, 0, 0, 0, 19, 2, 39
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/setting/settings.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/LanguageInApplication.ts", "TypeScript", 2, 0, 0, 0, 1, 0, 3
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/ValidateFunction.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/IReceivedDataAtClient_getlist.ts", "TypeScript", 5, 0, 0, 0, 0, 4, 9
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/IReceivedDataAtClient_pickUp.ts", "TypeScript", 5, 0, 0, 0, 0, 3, 8
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/list/atServer_getlist/IReceivedDataAtServer_getlist_UseId.ts", "TypeScript", 6, 0, 0, 0, 1, 3, 10
