"filename", "language", "TypeScript", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Input\SelectChoicesCapsuled.ts", "TypeScript", 107, 0, 0, 0, 0, 6, 113
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Input\TextChoicesCapsuled.ts", "TypeScript", 25, 0, 0, 0, 0, 3, 28
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Input\UListCupsuled.ts", "TypeScript", 37, 0, 0, 0, 0, 2, 39
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Input\searchConditionSelector.ts", "TypeScript", 165, 0, 0, 0, 4, 22, 191
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Interface\TagsClickedCallbacks.ts", "TypeScript", 7, 0, 0, 0, 0, 3, 10
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\MenuView.ts", "TypeScript", 61, 0, 0, 0, 0, 4, 65
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\MovieWidgetCreator.ts", "TypeScript", 54, 0, 0, 0, 2, 1, 57
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\NotificationList.ts", "TypeScript", 57, 0, 0, 0, 0, 5, 62
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\OfferFormView\OfferFormView.ts", "TypeScript", 313, 0, 0, 0, 4, 31, 348
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\OfferFormView\language.json", "JSON", 0, 0, 99, 0, 0, 1, 100
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\PageTitleView.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\RecordCardView.ts", "TypeScript", 55, 0, 0, 0, 2, 4, 61
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\RecordDetailView\RecordDetailView.ts", "TypeScript", 103, 0, 0, 0, 4, 22, 129
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\RecordDetailView\language.json", "JSON", 0, 0, 10, 0, 0, 0, 10
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\RecordOperation.ts", "TypeScript", 56, 0, 0, 0, 0, 4, 60
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\RecordsGroupView.ts", "TypeScript", 69, 0, 0, 0, 0, 9, 78
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\DestinationOfRefStackToCollection.ts", "TypeScript", 45, 0, 0, 0, 0, 1, 46
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\EditorFormManager.ts", "TypeScript", 155, 0, 0, 0, 21, 12, 188
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\EditorType.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\DisabledEditor.ts", "TypeScript", 30, 0, 0, 0, 0, 2, 32
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\EditorDatePart.ts", "TypeScript", 83, 0, 0, 0, 0, 5, 88
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\EditorIDPart.ts", "TypeScript", 78, 0, 0, 0, 0, 5, 83
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\EditorNumberTypePart.ts", "TypeScript", 57, 0, 0, 0, 0, 4, 61
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\EditorPart.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\EditorScoreTypePart.ts", "TypeScript", 74, 0, 0, 0, 0, 4, 78
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\EditorTextPart.ts", "TypeScript", 58, 0, 0, 0, 0, 4, 62
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\Editor\Editor_CSVInputter.ts", "TypeScript", 96, 0, 0, 0, 7, 5, 108
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\SettingRegulationStateHeader.ts", "TypeScript", 56, 0, 0, 0, 0, 5, 61
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\SetNewRegulation\SettingRegulationView_CollectionViewer.ts", "TypeScript", 117, 0, 0, 0, 0, 10, 127
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\StateInfoView.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 30
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\TagView.ts", "TypeScript", 31, 0, 0, 0, 0, 2, 33
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\TagsView.ts", "TypeScript", 25, 0, 0, 0, 0, 6, 31
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\TextInputCapsuled.ts", "TypeScript", 58, 0, 0, 0, 1, 5, 64
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\TitleCupsuled.ts", "TypeScript", 31, 0, 0, 0, 0, 1, 32
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\UserInformationBoard.ts", "TypeScript", 37, 0, 0, 0, 0, 6, 43
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\gameModeCardsGroup.ts", "TypeScript", 53, 0, 0, 0, 1, 5, 59
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\gameSystemCardsGroup.ts", "TypeScript", 58, 0, 0, 0, 1, 3, 62
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\notice.ts", "TypeScript", 33, 0, 0, 0, 0, 2, 35
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\DetailViewer.ts", "TypeScript", 239, 0, 0, 0, 1, 19, 259
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\ErrorState.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 22
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\GameModeSelector.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 35
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\PageStateClass.ts", "TypeScript", 53, 0, 0, 0, 2, 4, 59
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\PageStates.ts", "TypeScript", 96, 0, 0, 0, 1, 11, 108
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\SpinnerExhibition.ts", "TypeScript", 16, 0, 0, 0, 0, 2, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\UnverifiedRecords.ts", "TypeScript", 55, 0, 0, 0, 0, 3, 58
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\UserPageInSpecific.ts", "TypeScript", 77, 0, 0, 0, 0, 5, 82
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\UserPageInWhole.ts", "TypeScript", 70, 0, 0, 0, 0, 10, 80
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\credits\credits.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 21
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\credits\language.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\gameSystemSelector.ts", "TypeScript", 31, 0, 0, 0, 0, 6, 37
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\gamemodeListOfPlayersPlayed.ts", "TypeScript", 66, 0, 0, 0, 0, 7, 73
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\introduction.ts", "TypeScript", 51, 0, 0, 0, 1, 6, 58
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\state\mainMenu.json", "JSON", 0, 0, 13, 0, 0, 0, 13
